iter	Passed	Remaining
541	105808	284627
542	105983	284378
543	106159	284131
544	106355	283938
545	106556	283759
546	106740	283534
547	106917	283292
548	107108	283087
549	107302	282887
550	107485	282661
551	107657	282406
552	107849	282202
553	108059	282047
554	108251	281843
555	108431	281611
556	108633	281434
557	108809	281189
558	109008	281004
559	109205	280815
560	109384	280579
561	109577	280377
562	109764	280163
563	109966	279985
564	110157	279781
565	110351	279582
566	110561	279425
567	110778	279286
568	110983	279115
569	111172	278905
570	111368	278712
571	111575	278549
572	111763	278336
573	111937	278088
574	112116	277855
575	112296	277622
576	112493	277431
577	112701	277269
578	112876	277025
579	113075	276840
580	113274	276654
581	113463	276444
582	113645	276219
583	113824	275984
584	113994	275730
585	114185	275526
586	114374	275318
587	114554	275086
588	114761	274921
589	114945	274699
590	115123	274464
591	115310	274251
592	115521	274094
593	115719	273908
594	115901	273684
595	116080	273451
596	116260	273221
597	116450	273017
598	116634	272797
599	116815	272570
600	117014	272385
601	117207	272185
602	117400	271986
603	117577	271751
604	117774	271562
605	118003	271448
606	118183	271218
607	118367	271000
608	118575	270835
609	118748	270591
610	118941	270391
611	119128	270179
612	119318	269974
613	119523	269802
614	119708	269588
615	119889	269362
616	120061	269117
617	120254	268918
618	120429	268679
619	120603	268439
620	120779	268203
621	120957	267973
622	121128	267726
623	121306	267495
624	121498	267296
625	121701	267121
626	121898	266931
627	122090	266732
628	122265	266496
629	122464	266311
630	122647	266092
631	122828	265868
632	123012	265651
633	123192	265427
634	123407	265278
635	123592	265062
636	123773	264840
637	123966	264642
638	124187	264505
639	124364	264273
640	124559	264082
641	124769	263921
642	124961	263721
643	125137	263487
644	125300	263228
645	125483	263009
646	125680	262821
647	125859	262595
648	126036	262366
649	126226	262163
650	126414	261956
651	126601	261747
652	126771	261502
653	126959	261294
654	127136	261067
655	127315	260842
656	127525	260679
657	127728	260504
658	127954	260373
659	128152	260187
660	128330	259962
661	128520	259759
662	128720	259576
663	128925	259403
664	129131	259233
665	129303	258995
666	129495	258797
667	129687	258598
668	129877	258396
669	130066	258192
670	130240	257958
671	130450	257794
672	130631	257574
673	130819	257369
674	130995	257139
675	131179	256924
676	131363	256712
677	131548	256500
678	131715	256253
679	131893	256028
680	132076	255813
681	132255	255589
682	132433	255366
683	132628	255174
684	132811	254959
685	132995	254747
686	133178	254532
687	133374	254341
688	133570	254152
689	133794	254015
690	133996	253836
691	134191	253644
692	134384	253449
693	134598	253292
694	134798	253109
695	134992	252917
696	135184	252720
697	135370	252510
698	135565	252317
699	135750	252108
700	135952	251928
701	136146	251735
702	136340	251542
703	136555	251386
704	136793	251273
705	136982	251070
706	137160	250845
707	137340	250627
708	137529	250424
709	137729	250241
710	137916	250034
711	138109	249838
712	138315	249666
713	138508	249470
714	138705	249281
715	138897	249084
716	139120	248941
717	139324	248765
718	139504	248546
719	139682	248324
720	139869	248117
721	140057	247913
722	140234	247688
723	140457	247546
724	140661	247370
725	140858	247181
726	141049	246981
727	141254	246807
728	141461	246636
729	141645	246425
730	141817	246192
731	141998	245975
732	142207	245806
733	142388	245590
734	142582	245396
735	142761	245178
736	142968	245005
737	143169	244824
738	143358	244621
739	143528	244386
740	143700	244155
741	143885	243946
742	144080	243753
743	144259	243535
744	144476	243379
745	144672	243189
746	144849	242967
747	145038	242765
748	145228	242564
749	145427	242378
750	145614	242174
751	145808	241980
752	146002	241786
753	146203	241603
754	146382	241385
755	146576	241192
756	146814	241070
757	147005	240872
758	147202	240683
759	147377	240458
760	147575	240270
761	147750	240045
762	147955	239869
763	148149	239676
764	148326	239454
765	148512	239249
766	148690	239028
767	148857	238792
768	149052	238600
769	149222	238367
770	149425	238189
771	149613	237986
772	149799	237780
773	149993	237587
774	150170	237366
775	150362	237169
776	150550	236966
777	150740	236767
778	150930	236568
779	151108	236349
780	151305	236161
781	151498	235965
782	151681	235755
783	151864	235544
784	152062	235358
785	152262	235173
786	152452	234974
787	152643	234777
788	152829	234571
789	153009	234356
790	153180	234127
791	153374	233934
792	153572	233748
793	153779	233574
794	153977	233387
795	154156	233171
796	154335	232955
797	154524	232755
798	154719	232563
799	154910	232365
800	155118	232193
801	155306	231992
802	155501	231800
803	155685	231591
804	155861	231372
805	156051	231173
806	156227	230953
807	156413	230748
808	156604	230551
809	156786	230340
810	156960	230118
811	157146	229914
812	157335	229713
813	157514	229498
814	157692	229282
815	157879	229079
816	158069	228880
817	158263	228688
818	158457	228496
819	158631	228274
820	158828	228086
821	159015	227883
822	159209	227691
823	159388	227476
824	159558	227249
825	159727	227022
826	159907	226809
827	160127	226653
828	160333	226478
829	160536	226298
830	160731	226107
831	160931	225922
832	161127	225733
833	161299	225510
834	161493	225317
835	161669	225099
836	161841	224876
837	162027	224672
838	162235	224499
839	162416	224289
840	162604	224088
841	162795	223892
842	162971	223674
843	163156	223469
844	163346	223272
845	163538	223077
846	163707	222851
847	163877	222625
848	164061	222419
849	164239	222205
850	164415	221989
851	164592	221774
852	164760	221547
853	164954	221355
854	165141	221154
855	165322	220944
856	165508	220742
857	165687	220530
858	165890	220351
859	166097	220175
860	166277	219964
861	166445	219739
862	166650	219562
863	166817	219334
864	167014	219145
865	167207	218953
866	167391	218748
867	167581	218551
868	167762	218342
869	167963	218160
870	168140	217945
871	168317	217732
872	168517	217548
873	168695	217335
874	168867	217115
875	169066	216930
876	169251	216727
877	169431	216517
878	169623	216323
879	169856	216180
880	170041	215977
881	170230	215779
882	170413	215573
883	170605	215380
884	170791	215177
885	170979	214979
886	171169	214781
887	171360	214586
888	171570	214414
889	171750	214205
890	171957	214029
891	172159	213848
892	172357	213661
893	172576	213501
894	172774	213313
895	172972	213126
896	173157	212924
897	173341	212719
898	173529	212520
899	173717	212320
900	173911	212129
901	174089	211918
902	174278	211720
903	174449	211501
904	174624	211285
905	174788	211058
906	174967	210848
907	175148	210640
908	175326	210430
909	175544	210267
910	175720	210054
911	175931	209882
912	176129	209695
913	176302	209479
914	176496	209287
915	176664	209066
916	176890	208912
917	177087	208724
918	177286	208538
919	177473	208338
920	177653	208130
921	177836	207925
922	178043	207749
923	178228	207547
924	178417	207350
925	178600	207145
926	178782	206940
927	178978	206750
928	179160	206545
929	179363	206364
930	179555	206170
931	179736	205963
932	179920	205761
933	180102	205555
934	180293	205360
935	180511	205197
936	180690	204988
937	180896	204810
938	181083	204610
939	181268	204409
940	181452	204206
941	181644	204013
942	181828	203809
943	182003	203597
944	182191	203398
945	182390	203212
946	182600	203039
947	182822	202878
948	183009	202679
949	183196	202480
950	183386	202284
951	183573	202085
952	183768	201895
953	183957	201697
954	184160	201516
955	184342	201311
956	184533	201116
957	184729	200926
958	184938	200751
959	185148	200577
960	185348	200392
961	185525	200182
962	185708	199978
963	185880	199764
964	186077	199575
965	186255	199367
966	186446	199171
967	186640	198980
968	186833	198787
969	187038	198607
970	187225	198408
971	187413	198211
972	187590	198001
973	187785	197811
974	187955	197594
975	188148	197401
976	188332	197199
977	188516	196997
978	188689	196784
979	188886	196595
980	189077	196401
981	189272	196211
982	189452	196005
983	189639	195806
984	189821	195603
985	189999	195394
986	190167	195176
987	190362	194987
988	190544	194782
989	190720	194573
990	190907	194374
991	191097	194179
992	191295	193992
993	191489	193801
994	191703	193630
995	191893	193434
996	192077	193233
997	192268	193038
998	192449	192834
999	192652	192652
1000	192861	192476
1001	193052	192281
1002	193259	192103
1003	193454	191913
1004	193642	191715
1005	193847	191535
1006	194029	191331
1007	194238	191155
1008	194434	190965
1009	194631	190777
1010	194805	190566
1011	194988	190364
1012	195173	190164
1013	195389	189993
1014	195593	189812
1015	195771	189605
1016	195959	189408
1017	196166	189229
1018	196357	189035
1019	196531	188824
1020	196727	188634
1021	196913	188435
1022	197103	188240
1023	197328	188078
1024	197525	187890
1025	197711	187690
1026	197911	187505
1027	198130	187337
1028	198324	187145
1029	198523	186958
1030	198699	186750
1031	198904	186568
1032	199090	186370
1033	199277	186172
1034	199477	185985
1035	199677	185800
1036	199868	185605
1037	200041	185395
1038	200226	185194
1039	200435	185017
1040	200627	184824
1041	200817	184628
1042	201020	184445
1043	201223	184262
1044	201425	184078
1045	201614	183881
1046	201820	183701
1047	202038	183531
1048	202236	183342
1049	202434	183154
1050	202645	182978
1051	202845	182791
1052	203022	182585
1053	203246	182420
1054	203458	182244
1055	203660	182060
1056	203916	181923
1057	204133	181752
1058	204348	181579
1059	204543	181387
1060	204753	181209
1061	204950	181020
1062	205151	180834
1063	205368	180662
1064	205578	180484
1065	205792	180310
1066	206027	180153
1067	206212	179952
1068	206409	179763
1069	206600	179568
1070	206794	179376
1071	206979	179176
1072	207166	178978
1073	207362	178787
1074	207569	178606
1075	207761	178412
1076	207971	178233
1077	208182	178056
1078	208386	177871
1079	208567	177668
1080	208750	177467
1081	208924	177257
1082	209124	177070
1083	209321	176880
1084	209528	176699
1085	209739	176520
1086	209943	176337
1087	210159	176163
1088	210348	175966
1089	210538	175770
1090	210727	175573
1091	210941	175397
1092	211161	175227
1093	211357	175036
1094	211572	174861
1095	211793	174690
1096	211995	174504
1097	212179	174304
1098	212362	174102
1099	212546	173901
1100	212763	173727
1101	212962	173539
1102	213144	173337
1103	213328	173136
1104	213572	172983
1105	213789	172809
1106	213982	172616
1107	214196	172440
1108	214384	172242
1109	214588	172057
1110	214762	171848
1111	214945	171647
1112	215145	171459
1113	215343	171269
1114	215543	171081
1115	215740	170891
1116	215967	170724
1117	216173	170541
1118	216377	170356
1119	216567	170160
1120	216796	169994
1121	216982	169795
1122	217171	169598
1123	217361	169402
1124	217586	169233
1125	217784	169044
1126	217992	168861
1127	218187	168669
1128	218365	168464
1129	218571	168280
1130	218772	168093
1131	218959	167894
1132	219181	167723
1133	219407	167554
1134	219631	167384
1135	219854	167213
1136	220043	167016
1137	220233	166820
1138	220419	166621
1139	220604	166420
1140	220797	166226
1141	220986	166030
1142	221162	165823
1143	221382	165649
1144	221586	165464
1145	221781	165271
1146	221956	165064
1147	222167	164883
1148	222373	164699
1149	222584	164518
1150	222764	164315
1151	222945	164112
1152	223129	163912
1153	223315	163713
1154	223500	163513
1155	223692	163318
1156	223887	163126
1157	224098	162945
1158	224317	162770
1159	224517	162581
1160	224741	162410
1161	224940	162220
1162	225192	162069
1163	225426	161904
1164	225659	161738
1165	225902	161580
1166	226131	161411
1167	226361	161244
1168	226590	161075
1169	226851	160928
1170	227086	160763
1171	227282	160571
1172	227475	160377
1173	227700	160204
1174	227919	160028
1175	228155	159863
1176	228379	159691
1177	228617	159527
1178	228835	159349
1179	229041	159164
1180	229267	158992
1181	229471	158805
1182	229679	158620
1183	229912	158453
1184	230146	158286
1185	230384	158122
1186	230617	157954
1187	230840	157779
1188	231095	157627
1189	231321	157454
1190	231548	157282
1191	231774	157109
1192	231990	156929
1193	232207	156749
